ECRProductUID,ECRProductSKU,ECRProductDimensionUID,ECRProductDimensionSKU,AgeBand,TicketType,StartDate,EndDate,ImageUrls,Microsite,Name,Description,TicketFullfillmentInstructions
0EAD5526-3F29-4910-9358-95598A75C14E,15721,A8A795B7-5F8F-42A8-990C-27630F12AF78,15721,,Attractions,2016-05-18,,,chicago,"360 Chicago General Admission","360 Chicago General Admission","Opens at 9am. Last entry at 10:30 PM. Tilt is sold separately. Redeem in lower level. "
0EAD5526-3F29-4910-9358-95598A75C14E,15721,4ABCEC20-DF14-4942-BD74-820271AEDDA9,15721AD,Adult ,Attractions,2016-05-18,,,chicago,"360 Chicago General Admission","360 Chicago General Admission","Opens at 9am. Last entry at 10:30 PM. Tilt is sold separately. Redeem in lower level. "
0EAD5526-3F29-4910-9358-95598A75C14E,15721,4223FD0E-7EA6-4239-BEF7-B8E24D903757,15721CH,Child,Attractions,2016-05-18,,,chicago,"360 Chicago General Admission","360 Chicago General Admission","Opens at 9am. Last entry at 10:30 PM. Tilt is sold separately. Redeem in lower level. "
31DD9AC1-8704-480C-B37E-978009DB3844,15954,0D7AFE58-01BB-4845-A611-2CFA2F79598B,15954CO,Concession,Attractions,2016-05-18,,,chicago,"Art Institute General Admission Senior","Art Institute General Admission Senior","Open Daily 10:30AM to 5PM, Thurs until 8PM. Valid for 7 days after purchase. Redeem at Gen. Admis."
31DD9AC1-8704-480C-B37E-978009DB3844,15954,5230886B-02BF-4D6A-B762-64A02080C8AD,15954,,Attractions,2016-05-18,,,chicago,"Art Institute General Admission Senior","Art Institute General Admission Senior","Open Daily 10:30AM to 5PM, Thurs until 8PM. Valid for 7 days after purchase. Redeem at Gen. Admis."
6A0F96DE-BB70-4314-8997-94BC82B6B1EB,15953,E35B239D-F1F0-4996-8555-2CD727AEC284,15953CO,Concession,Attractions,2016-05-18,,,chicago,"Art Institute General Admission Student","Art Institute General Admission Student","Open Daily 10:30AM to 5PM, Thurs until 8PM. Valid for 7 days after purchase. Redeem at Gen. Admis."
6A0F96DE-BB70-4314-8997-94BC82B6B1EB,15953,1262CC96-1139-4DC7-9C3B-E47607868FFA,15953,,Attractions,2016-05-18,,,chicago,"Art Institute General Admission Student","Art Institute General Admission Student","Open Daily 10:30AM to 5PM, Thurs until 8PM. Valid for 7 days after purchase. Redeem at Gen. Admis."
EB769901-1860-40E3-BF47-6DE3BEAE9080,15722,CF38F20D-9CEB-4734-87B0-F5C9419288E8,15722,,Attractions,2016-05-18,,,chicago,"Art Institute General Admission","Art Institute General Admission","Open Daily 10:30AM to 5PM, Thurs until 8PM. Valid for 7 days after purchase. Redeem at Gen. Admis."
EB769901-1860-40E3-BF47-6DE3BEAE9080,15722,76EB57C6-DE0D-455F-9FBE-342D87ADEF6D,15722AD,Adult ,Attractions,2016-05-18,,,chicago,"Art Institute General Admission","Art Institute General Admission","Open Daily 10:30AM to 5PM, Thurs until 8PM. Valid for 7 days after purchase. Redeem at Gen. Admis."
EB769901-1860-40E3-BF47-6DE3BEAE9080,15722,C797CA18-6628-404D-9018-8F7875DDB576,15722CO,Concession,Attractions,2016-05-18,,,chicago,"Art Institute General Admission","Art Institute General Admission","Open Daily 10:30AM to 5PM, Thurs until 8PM. Valid for 7 days after purchase. Redeem at Gen. Admis."
EB769901-1860-40E3-BF47-6DE3BEAE9080,15722,65489921-570B-4D80-88E6-7ED33A714712,15722CH,Child,Attractions,2016-05-18,,,chicago,"Art Institute General Admission","Art Institute General Admission","Open Daily 10:30AM to 5PM, Thurs until 8PM. Valid for 7 days after purchase. Redeem at Gen. Admis."
7E222CCF-F83D-4F64-A826-1ABC9B9E94D2,15917,75762FDE-2665-4370-9799-4131E01A641E,15917,,Attractions,2016-05-18,,,chicago,"CAF Walking Tour","Chicago Architecture Foundation Walking Tour","Redeem at 224 S. Michigan for next available CAF walking tour valued at $20.00."
7E222CCF-F83D-4F64-A826-1ABC9B9E94D2,15917,48A8DDA8-14E1-4F65-995A-F8BB4A052536,15917CH,Child,Attractions,2016-05-18,,,chicago,"CAF Walking Tour","Chicago Architecture Foundation Walking Tour","Redeem at 224 S. Michigan for next available CAF walking tour valued at $20.00."
7E222CCF-F83D-4F64-A826-1ABC9B9E94D2,15917,3D85002C-F1BB-48A8-9396-D81BD2DC7785,15917AD,Adult ,Attractions,2016-05-18,,,chicago,"CAF Walking Tour","Chicago Architecture Foundation Walking Tour","Redeem at 224 S. Michigan for next available CAF walking tour valued at $20.00."
411D9625-7C6B-4577-932D-7B34A58014F0,15959,A288D93C-10C7-441E-B608-EB03D6ACEC08,15959,,Attractions,2016-05-18,,,chicago,"Chicago History Museum - Senior","Chicago History Museum - Senior","Present this ticket for general admission to the Chicago History Museum. "
411D9625-7C6B-4577-932D-7B34A58014F0,15959,F052A022-D9E9-4F51-950A-8A1E7FCF8432,15959CO,Concession,Attractions,2016-05-18,,,chicago,"Chicago History Museum - Senior","Chicago History Museum - Senior","Present this ticket for general admission to the Chicago History Museum. "
6D239E2C-68DC-46CB-A743-DEEB7862247E,15960,4D6E84EA-4C25-48E1-85E9-800E3F61DE30,15960,,Attractions,2016-05-18,,,chicago,"Chicago History Museum - Student","Chicago History Museum - Student","Present this ticket for general admission to the Chicago History Museum. "
6D239E2C-68DC-46CB-A743-DEEB7862247E,15960,0C979A33-1B7F-413C-90AB-BBE872614491,15960CO,Concession,Attractions,2016-05-18,,,chicago,"Chicago History Museum - Student","Chicago History Museum - Student","Present this ticket for general admission to the Chicago History Museum. "
